Transit (row) / Origin (Column) ASN-ASNAME,99999-AF
28917-LLC "TRC FIORD",0.00039
4755-Tata Communications,0.00038
15412-Reliance Globalcom Limited,0.00038
52320-GlobeNet Cabos Submarinos Colombia S,0.00036
2828-MCI Communications Services Inc. d/b,0.00034
47887-AL-HADATHEH LIL-ITISALAT WA AL-TECHN,0.00031
6830-Liberty Global Operations B.V.,0.0003
7922-Comcast Cable Communications LLC,0.0002
29075-Lost Oasis SARL,0.00019
19835-Rogers Communications Canada Inc.,0.00019
24961-myLoc managed IT AG,0.00017
12389-PJSC Rostelecom,0.00017
1221-Telstra Managed Network Services,0.00017
7474-Optus Vision,0.00016
39533-Asympto Networks Kft.,0.00016
12989-StackPath LLC,0.00016
8220-COLT Technology Services Group Limit,0.00015
29049-Delta Telecom Ltd,0.00015
2497-Internet Initiative Japan Inc.,0.00015
24490-CERNET2 IX at Peking University,0.00014
577-Bell Canada,0.0001
57740-Hermes Datacommunications Internatio,0.0001
3216-PJSC "Vimpelcom",0.0001
13030-Init7 (Switzerland) Ltd.,0.0001
99999-AF,0.0
4134-No.31Jin-rong Street,0.0
210222-unknown,0.0
1399999-unknown,0.0
12714-Net By Net Holding LLC,0.0
8468-ENTANET International Limited,9e-05
4713-NTT Communications Corporation,9e-05
1836-green.ch AG,9e-05
37468-Angola Cables,8e-05
3303-Swisscom (Switzerland) Ltd,8e-05
20965-GEANT Limited,7e-05
701-MCI Communications Services Inc. d/b,6e-05
5580-Hibernia Networks (Netherlands) BV,6e-05
33438-Highwinds Network Group Inc.,6e-05
25091-IP-Max SA,6e-05
8758-Iway AG,5e-05
38930-LeaseWeb Network B.V.,5e-05
35280-ACORUS NETWORKS SAS,5e-05
2603-NORDUnet,5e-05
200780-APPLIWAVE SAS,5e-05
198385-AlpineDC SA,5e-05
1764-Next Layer Telekommunikationsdienstl,5e-05
1273-Vodafone Group PLC,5e-05
9505-Data Communication Business Group,3e-05
8218-Zayo France SAS,3e-05
30781-Jaguar Network SAS,3e-05
202984-Chernyshov Aleksandr Aleksandrovich,3e-05
9293-NTT Com Asia Limited,2e-05
6777-Amsterdam Internet Exchange B.V.,2e-05
11537-Internet2,2e-05
11164-Internet2,2e-05
7545-TPG Telecom Limited,1e-05
5713-Telkom SA Ltd.,1e-05
2852-CESNET z.s.p.o.,1e-05
