Transit (row) / Origin (Column) ASN-ASNAME,99999-CL
11058-CABASE Camara Arg de Base de Datos y,0.0
10429-Telefonica Data S.A.,0.0
9002-RETN Limited,9e-05
8447-A1 Telekom Austria AG,9e-05
1221-Telstra Managed Network Services,9e-05
61526-PIT CHILE SP,8e-05
61102-Interhost Communication Solutions Lt,8e-05
55259-Neutrona Networks International LLC,8e-05
4766-Korea Telecom,8e-05
394094-Intellectica Systems Inc.,8e-05
3267-State Institute of Information Techn,8e-05
29802-HIVELOCITY VENTURES CORP,8e-05
27901-Pacifico Cable S.A.,8e-05
266731-unknown,8e-05
262167-Redcol S.A.,8e-05
22388-Indiana University,8e-05
20764-CJSC RASCOM,8e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,8e-05
64116-unknown,7e-05
18881-TELEFÃNICA BRASIL S.A,7e-05
7660-Asia Pacific Advanced Network - Japa,6e-05
7474-Optus Vision,6e-05
5583-Orange S.A.,6e-05
45352-IP ServerOne Solutions Sdn Bhd,6e-05
42745-Safe Value Limited,6e-05
3303-Swisscom (Switzerland) Ltd,6e-05
6661-POST Luxembourg,5e-05
2497-Internet Initiative Japan Inc.,5e-05
15576-NTS workspace AG,5e-05
8468-ENTANET International Limited,4e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,4e-05
61522-PIT CHILE SP,4e-05
43578-MBA DATACENTERS S.L.,4e-05
40824-WZ Communications Inc.,4e-05
4004-Sprint International,4e-05
3462-Data Communication Business Group,4e-05
28917-LLC "TRC FIORD",4e-05
2603-NORDUnet,4e-05
21320-GEANT Limited,4e-05
206376-Intellectica Systems India Private L,4e-05
20485-Closed Joint Stock Company TransTele,4e-05
202984-Chernyshov Aleksandr Aleksandrovich,4e-05
20207-Gigared S.A.,4e-05
17378-TIERPOINT PENNSYLVANIA TWO LLC,4e-05
14551-MCI Communications Services Inc. d/b,4e-05
14080-Telmex Colombia S.A.,4e-05
12389-PJSC Rostelecom,4e-05
